15541A0375,RT31036,METROLOGY,19,18,0
15541A0376,RT31031,DYNAMICS OF MACHINERY,25,24,3
15541A0376,RT31032,METAL CUTTING & MACHINE TOOLS,22,13,0
15541A0376,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,25,31,3
15541A0376,RT31035,THERMAL ENGINEERING-II,20,30,3
15541A0377,RT31031,DYNAMICS OF MACHINERY,23,18,0
15541A0377,RT31033,DESIGN OF MACHINE MEMBERS-I,18,17,0
15541A0377,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,23,6,0
15541A0377,RT31035,THERMAL ENGINEERING-II,17,25,3
15541A0377,RT31036,METROLOGY,19,24,3
15541A0378,RT31031,DYNAMICS OF MACHINERY,9,19,0
15541A0378,RT31033,DESIGN OF MACHINE MEMBERS-I,18,16,0
15541A0381,RT31031,DYNAMICS OF MACHINERY,19,20,0
15541A0381,RT31036,METROLOGY,17,24,3
15541A0382,RT31032,METAL CUTTING & MACHINE TOOLS,24,28,3
15541A0382,RT31033,DESIGN OF MACHINE MEMBERS-I,23,30,3
15541A0382,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,25,39,3
15541A0382,RT31036,METROLOGY,22,25,3
15541A0384,RT31031,DYNAMICS OF MACHINERY,11,12,0
15541A0384,RT31032,METAL CUTTING & MACHINE TOOLS,16,17,0
15541A0384,RT31033,DESIGN OF MACHINE MEMBERS-I,15,18,0
15541A0384,RT31035,THERMAL ENGINEERING-II,18,29,3
15541A0384,RT31036,METROLOGY,21,17,0
15541A0389,RT31031,DYNAMICS OF MACHINERY,25,35,3
15541A0389,RT31035,THERMAL ENGINEERING-II,22,29,3
15541A0402,RT31045,ANTENNAS AND WAVE PROPAGATION,21,33,3
15541A0406,RT31041,PULSE & DIGITAL CIRCUITS,28,13,0
15541A0409,RT31045,ANTENNAS AND WAVE PROPAGATION,28,29,3
15541A0411,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,21,-1,0
15541A0411,RT31045,ANTENNAS AND WAVE PROPAGATION,22,23,0
15541A0413,RT31045,ANTENNAS AND WAVE PROPAGATION,26,21,0
15541A0417,RT31045,ANTENNAS AND WAVE PROPAGATION,25,29,3
15541A0418,RT31041,PULSE & DIGITAL CIRCUITS,25,5,0
15541A0427,RT31041,PULSE & DIGITAL CIRCUITS,23,-1,0
15541A0427,RT31043,CONTROL SYSTEMS,22,10,0
15541A0427,RT31044,DIGITAL SYSTEM DESIGN & DICA,27,10,0
15541A0437,RT31045,ANTENNAS AND WAVE PROPAGATION,30,29,3
