13541A0337,RT42031,PRODUCTION PLANNING AND CONTROL,25,58,3
13541A0337,RT42032,GREEN ENGINEERING SYSTEMS,21,42,3
13541A0337,RT42033D,POWER PLANT ENGINEERING,24,30,3
13541A0337,RT42034A,NON DESTRUCTIVE EVALUATION,22,64,3
13541A0337,RT42035,PROJECT WORK,55,134,9
13541A0338,RT42031,PRODUCTION PLANNING AND CONTROL,19,39,3
13541A0338,RT42032,GREEN ENGINEERING SYSTEMS,21,27,3
13541A0338,RT42033D,POWER PLANT ENGINEERING,20,28,3
13541A0338,RT42034A,NON DESTRUCTIVE EVALUATION,19,32,3
13541A0338,RT42035,PROJECT WORK,55,135,9
13541A0339,RT42031,PRODUCTION PLANNING AND CONTROL,25,42,3
13541A0339,RT42032,GREEN ENGINEERING SYSTEMS,25,51,3
13541A0339,RT42033D,POWER PLANT ENGINEERING,26,19,0
13541A0339,RT42034A,NON DESTRUCTIVE EVALUATION,24,38,3
13541A0339,RT42035,PROJECT WORK,57,135,9
13541A0340,RT42031,PRODUCTION PLANNING AND CONTROL,21,36,3
13541A0340,RT42032,GREEN ENGINEERING SYSTEMS,19,29,3
13541A0340,RT42033D,POWER PLANT ENGINEERING,19,24,3
13541A0340,RT42034A,NON DESTRUCTIVE EVALUATION,20,39,3
13541A0340,RT42035,PROJECT WORK,50,130,9
13541A0402,RT42041,CELLULAR MOBILE COMMUNICATION,27,47,3
13541A0402,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,40,3
13541A0402,RT42043C,EMBEDDED SYSTEMS,25,34,3
13541A0402,RT42044D,BIO-MEDICAL INSTRUMENTATION,27,31,3
13541A0402,RT42045,PROJECT & SEMINAR,57,138,9
13541A0403,RT42041,CELLULAR MOBILE COMMUNICATION,16,31,3
13541A0403,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,17,31,3
13541A0403,RT42043C,EMBEDDED SYSTEMS,22,27,3
13541A0403,RT42044D,BIO-MEDICAL INSTRUMENTATION,17,14,0
13541A0403,RT42045,PROJECT & SEMINAR,49,130,9
13541A0404,RT42041,CELLULAR MOBILE COMMUNICATION,8,0,0
13541A0404,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,16,25,3
13541A0404,RT42043C,EMBEDDED SYSTEMS,17,0,0
13541A0404,RT42044D,BIO-MEDICAL INSTRUMENTATION,8,1,0
13541A0404,RT42045,PROJECT & SEMINAR,50,125,9
13541A0405,RT42041,CELLULAR MOBILE COMMUNICATION,24,32,3
13541A0405,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,70,3
13541A0405,RT42043C,EMBEDDED SYSTEMS,24,43,3
13541A0405,RT42044D,BIO-MEDICAL INSTRUMENTATION,25,31,3
13541A0405,RT42045,PROJECT & SEMINAR,60,139,9
13541A0406,RT42041,CELLULAR MOBILE COMMUNICATION,23,32,3
13541A0406,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,57,3
13541A0406,RT42043C,EMBEDDED SYSTEMS,22,24,3
13541A0406,RT42044D,BIO-MEDICAL INSTRUMENTATION,24,36,3
13541A0406,RT42045,PROJECT & SEMINAR,54,133,9
13541A0408,RT42041,CELLULAR MOBILE COMMUNICATION,23,47,3
13541A0408,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,44,3
13541A0408,RT42043C,EMBEDDED SYSTEMS,24,37,3
13541A0408,RT42044D,BIO-MEDICAL INSTRUMENTATION,26,35,3
13541A0408,RT42045,PROJECT & SEMINAR,57,137,9
13541A0409,RT42041,CELLULAR MOBILE COMMUNICATION,23,25,3
13541A0409,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,32,3
13541A0409,RT42043C,EMBEDDED SYSTEMS,20,30,3
13541A0409,RT42044D,BIO-MEDICAL INSTRUMENTATION,23,36,3
13541A0409,RT42045,PROJECT & SEMINAR,57,138,9
13541A0410,RT42041,CELLULAR MOBILE COMMUNICATION,18,31,3
13541A0410,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,19,27,3
13541A0410,RT42043C,EMBEDDED SYSTEMS,15,51,3
13541A0410,RT42044D,BIO-MEDICAL INSTRUMENTATION,20,19,0
13541A0410,RT42045,PROJECT & SEMINAR,52,133,9
13541A0411,RT42041,CELLULAR MOBILE COMMUNICATION,20,27,3
13541A0411,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,16,16,0
13541A0411,RT42043C,EMBEDDED SYSTEMS,21,24,3
13541A0411,RT42044D,BIO-MEDICAL INSTRUMENTATION,22,24,3
13541A0411,RT42045,PROJECT & SEMINAR,54,134,9
13541A0412,RT42041,CELLULAR MOBILE COMMUNICATION,23,40,3
13541A0412,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,18,42,3
13541A0412,RT42043C,EMBEDDED SYSTEMS,24,43,3
13541A0412,RT42044D,BIO-MEDICAL INSTRUMENTATION,24,40,3
13541A0412,RT42045,PROJECT & SEMINAR,60,138,9
13541A0413,RT42041,CELLULAR MOBILE COMMUNICATION,22,31,3
13541A0413,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,31,3
13541A0413,RT42043C,EMBEDDED SYSTEMS,21,33,3
13541A0413,RT42044D,BIO-MEDICAL INSTRUMENTATION,24,36,3
13541A0413,RT42045,PROJECT & SEMINAR,55,137,9
13541A0415,RT42041,CELLULAR MOBILE COMMUNICATION,22,31,3
13541A0415,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,22,43,3
13541A0415,RT42043C,EMBEDDED SYSTEMS,17,37,3
13541A0415,RT42044D,BIO-MEDICAL INSTRUMENTATION,21,41,3
13541A0415,RT42045,PROJECT & SEMINAR,50,130,9
13541A0416,RT42041,CELLULAR MOBILE COMMUNICATION,25,39,3
13541A0416,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,22,66,3
13541A0416,RT42043C,EMBEDDED SYSTEMS,24,32,3
13541A0416,RT42044D,BIO-MEDICAL INSTRUMENTATION,28,37,3
13541A0416,RT42045,PROJECT & SEMINAR,60,139,9
13541A0417,RT42041,CELLULAR MOBILE COMMUNICATION,24,35,3
13541A0417,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,50,3
13541A0417,RT42043C,EMBEDDED SYSTEMS,26,34,3
13541A0417,RT42044D,BIO-MEDICAL INSTRUMENTATION,25,42,3
13541A0417,RT42045,PROJECT & SEMINAR,58,137,9
