100706,14541A0360,RT32034,ROBOTICS,26,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100707,14541A0360,RT32035,HEAT TRANSFER,24,35,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100708,14541A0361,RT32031,OPERATIONS RESEARCH,15,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100709,14541A0361,RT32033,DESIGN OF MACHINE MEMBERS  II,12,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100710,14541A0361,RT32034,ROBOTICS,18,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100711,14541A0363,RT32031,OPERATIONS RESEARCH,22,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100712,14541A0363,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100713,14541A0363,RT32035,HEAT TRANSFER,14,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100714,14541A0363,RT32037A,REFRIGERATION & AIR CONDITIONING,16,20,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100715,14541A0364,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100716,14541A0364,RT32034,ROBOTICS,22,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100717,14541A0364,RT32035,HEAT TRANSFER,17,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100718,14541A0365,RT32031,OPERATIONS RESEARCH,21,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100719,14541A0366,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100720,14541A0366,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,17,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100721,14541A0366,RT32037A,REFRIGERATION & AIR CONDITIONING,16,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100722,14541A0369,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100723,14541A0369,RT32033,DESIGN OF MACHINE MEMBERS  II,26,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100724,14541A0369,RT32034,ROBOTICS,21,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100725,14541A0369,RT32035,HEAT TRANSFER,25,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100726,14541A0370,RT32031,OPERATIONS RESEARCH,14,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100727,14541A0370,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100728,14541A0370,RT32034,ROBOTICS,14,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100729,14541A0374,RT32031,OPERATIONS RESEARCH,27,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100730,14541A0374,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100731,14541A0374,RT32034,ROBOTICS,26,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100732,14541A0375,RT32034,ROBOTICS,20,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100733,14541A0375,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,20,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100734,14541A0375,RT32037A,REFRIGERATION & AIR CONDITIONING,16,34,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100735,14541A0377,RT32035,HEAT TRANSFER,22,48,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100736,14541A0377,RT32037A,REFRIGERATION & AIR CONDITIONING,18,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100737,14541A0378,RT32031,OPERATIONS RESEARCH,24,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100738,14541A0378,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100739,14541A0378,RT32033,DESIGN OF MACHINE MEMBERS  II,19,18,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100740,14541A0378,RT32034,ROBOTICS,21,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100741,14541A0378,RT32035,HEAT TRANSFER,11,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100742,14541A0378,RT32037A,REFRIGERATION & AIR CONDITIONING,13,27,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100743,14541A0379,RT32031,OPERATIONS RESEARCH,16,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100744,14541A0379,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100745,14541A0379,RT32033,DESIGN OF MACHINE MEMBERS  II,19,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100746,14541A0379,RT32034,ROBOTICS,23,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100747,14541A0383,RT32031,OPERATIONS RESEARCH,22,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100748,14541A0383,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100749,14541A0383,RT32033,DESIGN OF MACHINE MEMBERS  II,18,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100750,14541A0383,RT32035,HEAT TRANSFER,14,38,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100751,14541A0383,RT32037A,REFRIGERATION & AIR CONDITIONING,15,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100752,14541A0384,RT32035,HEAT TRANSFER,25,33,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100753,14541A0385,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100754,14541A0386,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,19,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100755,14541A0386,RT32037A,REFRIGERATION & AIR CONDITIONING,18,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100756,14541A0387,RT32037A,REFRIGERATION & AIR CONDITIONING,17,16,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100757,14541A0388,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100758,14541A0388,RT32034,ROBOTICS,23,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100759,14541A0388,RT32035,HEAT TRANSFER,27,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100760,14541A0389,RT32031,OPERATIONS RESEARCH,27,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100761,14541A0391,RT32037A,REFRIGERATION & AIR CONDITIONING,18,23,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100762,14541A0401,RT32042,DIGITAL SIGNAL PROCESSING,20,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100763,14541A0403,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,24,17,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100764,14541A0403,RT32044,MICROWAVE ENGINEERING,22,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100765,14541A0404,RT32045A,BIO MEDICAL ENGINEERING,19,25,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100766,14541A0409,RT32044,MICROWAVE ENGINEERING,27,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100767,14541A0410,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,0,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100768,14541A0410,RT32045A,BIO MEDICAL ENGINEERING,16,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100769,14541A0412,RT32042,DIGITAL SIGNAL PROCESSING,23,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100770,14541A0414,RT32042,DIGITAL SIGNAL PROCESSING,25,33,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100771,14541A0417,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100772,14541A0417,RT32042,DIGITAL SIGNAL PROCESSING,25,34,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100773,14541A0417,RT32044,MICROWAVE ENGINEERING,21,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100774,14541A0418,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,22,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100775,14541A0427,RT32043,DIGITAL COMMUNICATIONS,29,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100776,14541A0428,RT32042,DIGITAL SIGNAL PROCESSING,24,43,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100777,14541A0429,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,25,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100778,14541A0429,RT32043,DIGITAL COMMUNICATIONS,23,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
