135719,15541A0230,RT31021,ELECTRICAL MEASUREMENTS,22,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135720,15541A0230,RT31023,POWER SYSTEMS-II,22,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135721,15541A0231,RT31023,POWER SYSTEMS-II,25,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135722,15541A0231,RT31024,ELECTRICAL MACHINES-III,20,7,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135723,15541A0232,RT31024,ELECTRICAL MACHINES-III,24,27,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135724,15541A0234,RT31023,POWER SYSTEMS-II,20,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135725,15541A0237,RT31016,IPR & PATENTS,23,33,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135726,15541A0241,RT31023,POWER SYSTEMS-II,20,6,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135727,15541A0241,RT31024,ELECTRICAL MACHINES-III,18,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135728,15541A0241,RT31025,POWER ELECTRONICS,22,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135729,15541A0241,RT31026,LINEAR & DIGITAL IC APPLICATIONS,17,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135730,15541A0243,RT31016,IPR & PATENTS,5,38,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135731,15541A0243,RT31022,MEFA,19,30,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135732,15541A0243,RT31025,POWER ELECTRONICS,16,8,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135733,15541A0244,RT31016,IPR & PATENTS,20,35,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135734,15541A0244,RT31021,ELECTRICAL MEASUREMENTS,25,21,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135735,15541A0246,RT31021,ELECTRICAL MEASUREMENTS,21,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135736,15541A0248,RT31016,IPR & PATENTS,28,26,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135737,15541A0250,RT31023,POWER SYSTEMS-II,21,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135738,15541A0252,RT31016,IPR & PATENTS,24,32,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135739,15541A0256,RT31024,ELECTRICAL MACHINES-III,26,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135740,15541A0256,RT31025,POWER ELECTRONICS,23,20,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135741,15541A0257,RT31016,IPR & PATENTS,21,36,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135742,15541A0257,RT31021,ELECTRICAL MEASUREMENTS,22,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135743,15541A0257,RT31026,LINEAR & DIGITAL IC APPLICATIONS,16,14,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135744,15541A0258,RT31023,POWER SYSTEMS-II,28,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135745,15541A0259,RT31016,IPR & PATENTS,5,28,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135746,15541A0259,RT31021,ELECTRICAL MEASUREMENTS,11,8,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135747,15541A0259,RT31023,POWER SYSTEMS-II,7,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135748,15541A0259,RT31024,ELECTRICAL MACHINES-III,7,7,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135749,15541A0259,RT31025,POWER ELECTRONICS,7,6,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135750,15541A0302,RT31031,DYNAMICS OF MACHINERY,26,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135751,15541A0302,RT31033,DESIGN OF MACHINE MEMBERS-I,19,28,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135752,15541A0305,RT31033,DESIGN OF MACHINE MEMBERS-I,27,46,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135753,15541A0306,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,25,48,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135754,15541A0308,RT31031,DYNAMICS OF MACHINERY,23,30,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135755,15541A0309,RT31035,THERMAL ENGINEERING-II,23,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135756,15541A0310,RT31031,DYNAMICS OF MACHINERY,18,17,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135757,15541A0310,RT31035,THERMAL ENGINEERING-II,20,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135758,15541A0314,RT31031,DYNAMICS OF MACHINERY,23,18,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135759,15541A0314,RT31035,THERMAL ENGINEERING-II,27,30,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135760,15541A0319,RT31031,DYNAMICS OF MACHINERY,29,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135761,15541A0319,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,23,39,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135762,15541A0319,RT31036,METROLOGY,20,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135763,15541A0320,RT31031,DYNAMICS OF MACHINERY,23,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135764,15541A0320,RT31032,METAL CUTTING & MACHINE TOOLS,15,26,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135765,15541A0320,RT31033,DESIGN OF MACHINE MEMBERS-I,19,27,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135766,15541A0320,RT31036,METROLOGY,17,24,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135767,15541A0324,RT31033,DESIGN OF MACHINE MEMBERS-I,25,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135768,15541A0324,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,18,25,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
