73038,14541A0311,RT21033,THERMODYNAMICS,23,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73039,14541A0313,RT21032,MECHANICS OF SOLIDS,16,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73040,14541A0314,RT21032,MECHANICS OF SOLIDS,20,20,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73041,14541A0314,RT21033,THERMODYNAMICS,23,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73042,14541A0314,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,22,17,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73043,14541A0316,RT21032,MECHANICS OF SOLIDS,19,8,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73044,14541A0320,RT21032,MECHANICS OF SOLIDS,17,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73045,14541A0320,RT21033,THERMODYNAMICS,19,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73046,14541A0324,RT21031,METALLURGY & MATERIALS SCIENCE,13,13,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73047,14541A0324,RT21032,MECHANICS OF SOLIDS,15,18,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73048,14541A0325,RT21032,MECHANICS OF SOLIDS,19,13,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73049,14541A0330,RT21032,MECHANICS OF SOLIDS,16,6,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73050,14541A0332,RT21032,MECHANICS OF SOLIDS,15,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73051,14541A0333,RT21031,METALLURGY & MATERIALS SCIENCE,17,15,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73052,14541A0333,RT21032,MECHANICS OF SOLIDS,12,9,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73053,14541A0334,RT21032,MECHANICS OF SOLIDS,24,18,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73054,14541A0342,RT21031,METALLURGY & MATERIALS SCIENCE,12,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73055,14541A0350,RT21032,MECHANICS OF SOLIDS,21,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73056,14541A0357,RT21032,MECHANICS OF SOLIDS,23,33,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73057,14541A0361,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERING,14,19,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73058,14541A0361,RT21031,METALLURGY & MATERIALS SCIENCE,13,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73059,14541A0361,RT21032,MECHANICS OF SOLIDS,9,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73060,14541A0361,RT21033,THERMODYNAMICS,12,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73061,14541A0363,RT21031,METALLURGY & MATERIALS SCIENCE,12,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73062,14541A0363,RT21032,MECHANICS OF SOLIDS,19,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73063,14541A0364,RT21032,MECHANICS OF SOLIDS,18,9,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73064,14541A0366,RT21032,MECHANICS OF SOLIDS,19,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73065,14541A0368,RT21032,MECHANICS OF SOLIDS,23,20,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73066,14541A0369,RT21031,METALLURGY & MATERIALS SCIENCE,16,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73067,14541A0369,RT21032,MECHANICS OF SOLIDS,18,17,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73068,14541A0370,RT21031,METALLURGY & MATERIALS SCIENCE,13,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73069,14541A0379,RT21032,MECHANICS OF SOLIDS,10,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73070,14541A0382,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERING,10,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73071,14541A0382,RT21032,MECHANICS OF SOLIDS,12,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73072,14541A0382,RT21033,THERMODYNAMICS,12,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73073,14541A0382,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,16,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73074,14541A0383,RT21031,METALLURGY & MATERIALS SCIENCE,14,17,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73075,14541A0386,RT21032,MECHANICS OF SOLIDS,15,12,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73076,14541A0391,RT21033,THERMODYNAMICS,20,19,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73077,14541A0392,RT21032,MECHANICS OF SOLIDS,16,21,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73078,14541A0394,RT21032,MECHANICS OF SOLIDS,16,14,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73079,14541A0415,RT21045,ELECTRICAL TECHNOLOGY,18,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73080,14541A0417,RT21043,ENVIRONMENTAL STUDIES,14,32,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73081,14541A0435,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,17,27,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73082,14541A0435,RT21042,DATA STRUCTURES,16,24,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73083,14541A0435,RT21044,SIGNALS AND SYSTEMS,18,6,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73084,14541A0437,RT21043,ENVIRONMENTAL STUDIES,15,14,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73085,14541A0437,RT21044,SIGNALS AND SYSTEMS,19,8,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73086,14541A0466,RT21041,ELECTRONIC DEVICES AND CIRCUITS,19,15,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73087,14541A0466,RT21044,SIGNALS AND SYSTEMS,21,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73088,14541A0510,RT21053,DIGITAL LOGIC DESIGN,15,32,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73089,14541A0518,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,20,33,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73090,14541A0526,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,19,17,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73091,14541A0526,RT21053,DIGITAL LOGIC DESIGN,18,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73092,14541A0529,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,20,30,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73093,14541A0533,RT21053,DIGITAL LOGIC DESIGN,11,12,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73094,14541A0549,RT21053,DIGITAL LOGIC DESIGN,19,13,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73095,14545A0209,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,11,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73096,14545A0210,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,14,13,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73097,14545A0210,RT21025,ELECTRO MAGNETIC FIELDS,15,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73098,14545A0210,RT21026,ELECTRICAL MACHINES-I,9,19,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73099,14545A0215,RT21023,BASIC ELECTRONICS AND DEVICES,5,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73100,14545A0215,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,11,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73101,14545A0215,RT21025,ELECTRO MAGNETIC FIELDS,15,6,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73102,14545A0307,RT21032,MECHANICS OF SOLIDS,18,33,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73103,14545A0309,RT21032,MECHANICS OF SOLIDS,21,51,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73104,14545A0401,RT21045,ELECTRICAL TECHNOLOGY,16,18,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73105,14545A0403,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,17,28,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73106,14545A0403,RT21041,ELECTRONIC DEVICES AND CIRCUITS,19,30,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73107,14545A0403,RT21042,DATA STRUCTURES,17,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73108,14545A0403,RT21043,ENVIRONMENTAL STUDIES,17,12,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73109,14545A0403,RT21044,SIGNALS AND SYSTEMS,18,9,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73110,14545A0403,RT21045,ELECTRICAL TECHNOLOGY,19,33,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73111,14545A0403,RT21046,ELECTRONIC DEVICES AND CIRCUITS LAB,13,41,2,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73112,14545A0403,RT21047,NETWORKS & ELECTRICAL TECHNOLOGY LAB,20,40,2,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73113,14545A0407,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,10,28,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73114,14545A0407,RT21044,SIGNALS AND SYSTEMS,17,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73115,14545A0407,RT21045,ELECTRICAL TECHNOLOGY,18,14,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73116,14545A0409,RT21045,ELECTRICAL TECHNOLOGY,20,22,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73117,14545A0410,RT21041,ELECTRONIC DEVICES AND CIRCUITS,8,23,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73118,14545A0410,RT21044,SIGNALS AND SYSTEMS,17,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
