129546,14541A0438,R13205,C PROGRAMMING,20,24,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129547,14541A0438,R13210,ENGG. MECHANICS,21,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129548,14541A0438,R13211,NETWORK ANALYSIS,21,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129549,14541A0446,R13205,C PROGRAMMING,5,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129550,14541A0446,R13211,NETWORK ANALYSIS,17,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129551,14541A0456,R13202,MATHEMATICS-III,14,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129552,14541A0456,R13210,ENGG. MECHANICS,24,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129553,14541A0456,R13211,NETWORK ANALYSIS,22,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129554,14541A0459,R13211,NETWORK ANALYSIS,23,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129555,14541A0463,R13210,ENGG. MECHANICS,15,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129556,14541A0472,R13202,MATHEMATICS-III,12,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129557,14541A0472,R13204,ENGG. CHEMISTRY,12,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129558,14541A0472,R13205,C PROGRAMMING,19,19,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129559,14541A0472,R13211,NETWORK ANALYSIS,21,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129560,14541A0473,R13204,ENGG. CHEMISTRY,19,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129561,14541A0473,R13205,C PROGRAMMING,18,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129562,14541A0475,R13205,C PROGRAMMING,15,31,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129563,14541A0476,R13204,ENGG. CHEMISTRY,13,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129564,14541A0482,R13204,ENGG. CHEMISTRY,15,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129565,14541A0482,R13211,NETWORK ANALYSIS,22,19,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129566,14541A0505,R13203,ENGG. PHYSICS,18,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129567,14541A0510,R13203,ENGG. PHYSICS,13,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129568,14541A0512,R13203,ENGG. PHYSICS,18,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129569,14541A0517,R13203,ENGG. PHYSICS,16,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129570,14541A0517,R13209,ENGG. DRAWING,27,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129571,14541A0522,R13203,ENGG. PHYSICS,18,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129572,14541A0526,R13202,MATHEMATICS-III,13,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129573,14541A0529,R13203,ENGG. PHYSICS,16,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129574,14541A0541,R13202,MATHEMATICS-III,15,25,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129575,14541A0541,R13203,ENGG. PHYSICS,19,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129576,14541A0545,R13203,ENGG. PHYSICS,19,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129577,14541A0547,R13203,ENGG. PHYSICS,5,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129578,14541A0549,R13202,MATHEMATICS-III,17,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129579,14PA1A0262,R13210,ENGG. MECHANICS,18,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129580,14PA1A0262,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,15,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129581,15541A0201,R13205,C PROGRAMMING,21,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129582,15541A0201,R13210,ENGG. MECHANICS,22,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129583,15541A0201,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129584,15541A0202,R13202,MATHEMATICS-III,15,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129585,15541A0202,R13205,C PROGRAMMING,17,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129586,15541A0202,R13210,ENGG. MECHANICS,17,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129587,15541A0204,R13202,MATHEMATICS-III,21,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129588,15541A0204,R13204,ENGG. CHEMISTRY,22,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129589,15541A0204,R13210,ENGG. MECHANICS,23,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129590,15541A0205,R13201,ENGLISH-II,23,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129591,15541A0205,R13205,C PROGRAMMING,25,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129592,15541A0205,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129593,15541A0207,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,34,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129594,15541A0209,R13204,ENGG. CHEMISTRY,22,34,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129595,15541A0209,R13205,C PROGRAMMING,25,24,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129596,15541A0211,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,36,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129597,15541A0212,R13202,MATHEMATICS-III,16,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129598,15541A0212,R13204,ENGG. CHEMISTRY,18,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129599,15541A0219,R13205,C PROGRAMMING,21,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
