80230,15541A0234,R13210,ENGG. MECHANICS,20,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80231,15541A0234,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80232,15541A0237,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,24,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80233,15541A0239,R13204,ENGG. CHEMISTRY,14,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80234,15541A0239,R13205,C PROGRAMMING,27,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80235,15541A0241,R13202,MATHEMATICS-III,14,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80236,15541A0241,R13204,ENGG. CHEMISTRY,14,37,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80237,15541A0243,R13205,C PROGRAMMING,22,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80238,15541A0244,R13205,C PROGRAMMING,26,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80239,15541A0244,R13210,ENGG. MECHANICS,24,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80240,15541A0245,R13204,ENGG. CHEMISTRY,19,40,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80241,15541A0245,R13205,C PROGRAMMING,20,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80242,15541A0245,R13210,ENGG. MECHANICS,22,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80243,15541A0248,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,23,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80244,15541A0250,R13202,MATHEMATICS-III,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80245,15541A0250,R13204,ENGG. CHEMISTRY,17,56,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80246,15541A0250,R13205,C PROGRAMMING,22,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80247,15541A0251,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,20,30,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80248,15541A0254,R13204,ENGG. CHEMISTRY,20,41,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80249,15541A0254,R13205,C PROGRAMMING,24,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80250,15541A0256,R13201,ENGLISH-II,22,38,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80251,15541A0256,R13210,ENGG. MECHANICS,17,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
